Factory,Region,AvgLeadTime,AvgDistance,AvgMargin,OrderVolume,TotalSales,Cluster,ClusterLabel
Lot's O' Nuts,Atlantic,9.006538229981938,2024.656245495,0.6909474048920583,1661,22166.13,0,Consistently Slow Route
Lot's O' Nuts,Gulf,7.836989966555183,1665.642641958404,0.6914528009368616,897,12023.12,0,Consistently Slow Route
Lot's O' Nuts,Interior,6.057176381529144,1139.5340195260214,0.6918103182754415,1321,17856.86,1,Moderate-Performance Route
Lot's O' Nuts,Pacific,3.9886541643684503,613.8607380451257,0.6910517970662764,1813,24294.04,1,Moderate-Performance Route
Secret Factory,Atlantic,4.284722222222222,731.0973652746957,0.5014124529878813,72,2991.25,2,High-Performing Route
Secret Factory,Gulf,4.505405405405405,714.6510442513411,0.5161290322580645,37,930.0,2,High-Performing Route
Secret Factory,Interior,3.0773333333333333,420.7677646002492,0.5074213836477988,45,1590.0,2,High-Performing Route
Secret Factory,Pacific,6.371904761904762,1441.1921212621987,0.5064770418529052,63,3076.25,3,Moderate-Performance Route
Sugar Shack,Atlantic,6.373888888888889,1098.8546687416829,0.5379816204367255,18,118.61,3,Moderate-Performance Route
Sugar Shack,Gulf,8.0625,1450.6094040748508,0.6053659807241469,4,38.39,3,Moderate-Performance Route
Sugar Shack,Interior,4.74375,848.0356481417759,0.5227983907018328,8,44.74,2,High-Performing Route
Sugar Shack,Pacific,7.173333333333333,1297.6590147643076,0.5608108108108107,3,19.240000000000002,3,Moderate-Performance Route
The Other Factory,Atlantic,5.008684210526316,903.2240781313997,0.1080414405525407,38,506.75,2,High-Performing Route
The Other Factory,Gulf,2.905263157894737,460.102432114159,0.10095238095238095,19,262.5,2,High-Performing Route
The Other Factory,Interior,3.49,485.49016861674335,0.07692307692307693,11,126.75,2,High-Performing Route
The Other Factory,Pacific,7.1178125,1612.428083817314,0.15857605177993528,32,386.25,3,Moderate-Performance Route
Wicked Choccy's,Atlantic,4.563308270676692,738.5205071947217,0.6513127250316261,1197,15414.5,1,Moderate-Performance Route
Wicked Choccy's,Gulf,3.077058823529412,349.0823404969261,0.6513229366469296,663,8993.25,1,Moderate-Performance Route
Wicked Choccy's,Interior,5.0979368421052635,891.3861493106423,0.6513267709402741,950,12419.25,1,Moderate-Performance Route
Wicked Choccy's,Pacific,9.56076005961252,2144.9548708184616,0.6513857738553095,1342,18525.75,0,Consistently Slow Route
