Product Name,Division,Region,Ship Mode,Current Factory,Candidate Factory,IsCurrent,OrderCount,Sales,CurrentLeadTime,PredictedLeadTime,LeadTimeChangeDays,LeadTimeReductionPct,CurrentMargin,PredictedMargin,ProfitImpact
Everlasting Gobstopper,Sugar,Gulf,Standard Class,Secret Factory,Lot's O' Nuts,False,1,40.0,7.07,10.48,3.41,-48.3,0.8,0.7789,-0.84
Everlasting Gobstopper,Sugar,Gulf,Standard Class,Secret Factory,Wicked Choccy's,False,1,40.0,7.07,3.49,-3.58,50.7,0.8,0.8216,0.86
Everlasting Gobstopper,Sugar,Gulf,Standard Class,Secret Factory,Sugar Shack,False,1,40.0,7.07,9.5,2.43,-34.4,0.8,0.785,-0.6
Everlasting Gobstopper,Sugar,Gulf,Standard Class,Secret Factory,Secret Factory,True,1,40.0,7.07,7.17,0.1,-1.5,0.8,0.8,0.0
Everlasting Gobstopper,Sugar,Gulf,Standard Class,Secret Factory,The Other Factory,False,1,40.0,7.07,5.47,-1.6,22.6,0.8,0.8103,0.41
Everlasting Gobstopper,Sugar,Interior,Standard Class,Secret Factory,Lot's O' Nuts,False,1,30.0,5.89,6.1,0.21,-3.6,0.8,0.7991,-0.03
Everlasting Gobstopper,Sugar,Interior,Standard Class,Secret Factory,Wicked Choccy's,False,1,30.0,5.89,6.63,0.74,-12.6,0.8,0.7943,-0.17
Everlasting Gobstopper,Sugar,Interior,Standard Class,Secret Factory,Sugar Shack,False,1,30.0,5.89,7.75,1.86,-31.5,0.8,0.7866,-0.4
Everlasting Gobstopper,Sugar,Interior,Standard Class,Secret Factory,Secret Factory,True,1,30.0,5.89,5.91,0.02,-0.3,0.8,0.8,0.0
Everlasting Gobstopper,Sugar,Interior,Standard Class,Secret Factory,The Other Factory,False,1,30.0,5.89,4.56,-1.33,22.6,0.8,0.8108,0.33
Everlasting Gobstopper,Sugar,Pacific,First Class,Secret Factory,Lot's O' Nuts,False,1,60.0,2.65,2.11,-0.54,20.5,0.8,0.8089,0.53
Everlasting Gobstopper,Sugar,Pacific,First Class,Secret Factory,Wicked Choccy's,False,1,60.0,2.65,3.66,1.01,-38.2,0.8,0.7756,-1.46
Everlasting Gobstopper,Sugar,Pacific,First Class,Secret Factory,Sugar Shack,False,1,60.0,2.65,2.45,-0.2,7.4,0.8,0.8008,0.05
Everlasting Gobstopper,Sugar,Pacific,First Class,Secret Factory,Secret Factory,True,1,60.0,2.65,2.48,-0.17,6.2,0.8,0.8,0.0
Everlasting Gobstopper,Sugar,Pacific,First Class,Secret Factory,The Other Factory,False,1,60.0,2.65,2.66,0.01,-0.4,0.8,0.7965,-0.21
Fizzy Lifting Drinks,Sugar,Atlantic,First Class,Sugar Shack,Lot's O' Nuts,False,1,15.0,3.21,4.86,1.65,-51.4,0.6,0.5465,-0.8
Fizzy Lifting Drinks,Sugar,Atlantic,First Class,Sugar Shack,Wicked Choccy's,False,1,15.0,3.21,2.43,-0.78,24.3,0.6,0.6181,0.27
Fizzy Lifting Drinks,Sugar,Atlantic,First Class,Sugar Shack,Sugar Shack,True,1,15.0,3.21,3.14,-0.07,2.1,0.6,0.6,0.0
Fizzy Lifting Drinks,Sugar,Atlantic,First Class,Sugar Shack,Secret Factory,False,1,15.0,3.21,2.43,-0.78,24.3,0.6,0.6165,0.25
Fizzy Lifting Drinks,Sugar,Atlantic,First Class,Sugar Shack,The Other Factory,False,1,15.0,3.21,2.7,-0.51,16.0,0.6,0.6089,0.13
