Product Name,Region,Ship Mode,Division,Current Factory,Candidate Factory,IsCurrent,OrderCount,Sales,CurrentLeadTime,PredictedLeadTime,LeadTimeChangeDays,LeadTimeReductionPct,CurrentMargin,PredictedMargin,ProfitImpact,LeadScore,ProfitScore,LeadScoreNorm,ProfitScoreNorm,CompositeScore
Wonka Bar - Triple Dazzle Caramel,Pacific,Standard Class,Chocolate,Wicked Choccy's,Lot's O' Nuts,False,412,5925.0,12.04,4.54,-7.5,62.3,0.6533,0.6922,230.02,62.3,230.02,0.8049095607235142,1.0,0.9024547803617571
Wonka Bar - Milk Chocolate,Pacific,Standard Class,Chocolate,Wicked Choccy's,Lot's O' Nuts,False,403,5437.25,11.81,4.47,-7.34,62.1,0.6492,0.6892,217.27,62.1,217.27,0.8023255813953488,0.9445700373880532,0.8734478093917011
Wonka Bar - Fudge Mallows,Interior,Standard Class,Chocolate,Lot's O' Nuts,The Other Factory,False,258,3675.6,7.41,2.93,-4.47,60.4,0.6667,0.7076,150.57,60.4,150.57,0.780361757105943,0.6545952525867316,0.7174785048463372
Wonka Bar -Scrumdiddlyumptious,Interior,Standard Class,Chocolate,Lot's O' Nuts,The Other Factory,False,293,3945.6,7.31,2.93,-4.38,59.9,0.6944,0.7318,147.42,59.9,147.42,0.7739018087855296,0.6409007912355447,0.7074013000105371
Wonka Bar -Scrumdiddlyumptious,Gulf,Standard Class,Chocolate,Lot's O' Nuts,Wicked Choccy's,False,191,2718.0,9.81,2.96,-6.85,69.8,0.6944,0.7358,112.41,69.8,112.41,0.9018087855297157,0.48869663507521083,0.6952527103024633
Wonka Bar - Fudge Mallows,Gulf,Standard Class,Chocolate,Lot's O' Nuts,Wicked Choccy's,False,172,2311.2,9.7,2.96,-6.74,69.5,0.6667,0.7115,103.54,69.5,103.54,0.8979328165374676,0.4501347708894879,0.6740337937134777
Wonka Bar - Milk Chocolate,Interior,Standard Class,Chocolate,Wicked Choccy's,The Other Factory,False,306,3740.75,6.22,2.93,-3.28,52.8,0.6492,0.6888,148.19,52.8,148.19,0.6821705426356588,0.6442483262325015,0.6632094344340802
Wonka Bar - Nutty Crunch Surprise,Gulf,Standard Class,Chocolate,Lot's O' Nuts,Wicked Choccy's,False,176,2265.01,9.79,2.74,-7.05,72.0,0.7135,0.7528,89.08,72.0,89.08,0.9302325581395349,0.3872706721154682,0.6587516151275015
Wonka Bar -Scrumdiddlyumptious,Atlantic,Standard Class,Chocolate,Lot's O' Nuts,Wicked Choccy's,False,357,4964.4,11.55,5.55,-6.01,52.0,0.6944,0.724,146.8,52.0,146.8,0.6718346253229973,0.6382053734457873,0.6550199993843924
Wonka Bar - Triple Dazzle Caramel,Interior,Standard Class,Chocolate,Wicked Choccy's,The Other Factory,False,290,4038.75,6.23,3.34,-2.89,46.4,0.6533,0.6922,156.98,46.4,156.98,0.5994832041343668,0.6824623945743847,0.6409727993543758
